Layer	0
epoch	1
Training Loss	63.22487
Training Prob Loss	6.19903
Training Cola Loss	0.51883
Valid. Loss	63.22487
Valid. Matthews.	0.51721
Training Time	0:02:45
Validation Time	0:00:06
Seed	1
Layer	0
epoch	2
Training Loss	46.65127
Training Prob Loss	5.32200
Training Cola Loss	0.34081
Valid. Loss	46.65127
Valid. Matthews.	0.57633
Training Time	0:03:13
Validation Time	0:00:06
Seed	1
Layer	0
epoch	3
Training Loss	46.02731
Training Prob Loss	4.86220
Training Cola Loss	0.24393
Valid. Loss	46.02731
Valid. Matthews.	0.58023
Training Time	0:03:23
Validation Time	0:00:07
Seed	1
Layer	0
epoch	1
Training Loss	62.84227
Training Prob Loss	6.23756
Training Cola Loss	0.49356
Valid. Loss	62.84227
Valid. Matthews.	0.61979
Training Time	0:03:21
Validation Time	0:00:07
Seed	5
Layer	0
epoch	2
Training Loss	46.72807
Training Prob Loss	5.26853
Training Cola Loss	0.27183
Valid. Loss	46.72807
Valid. Matthews.	0.66812
Training Time	0:03:27
Validation Time	0:00:07
Seed	5
Layer	0
epoch	3
Training Loss	46.10847
Training Prob Loss	4.80211
Training Cola Loss	0.14950
Valid. Loss	46.10847
Valid. Matthews.	0.65559
Training Time	0:03:27
Validation Time	0:00:06
Seed	5
Layer	0
epoch	1
Training Loss	49.34451
Training Prob Loss	6.20990
Training Cola Loss	0.50674
Valid. Loss	49.34451
Valid. Matthews.	0.60800
Training Time	0:03:25
Validation Time	0:00:07
Seed	9
Layer	0
epoch	2
Training Loss	47.14215
Training Prob Loss	5.12864
Training Cola Loss	0.29801
Valid. Loss	47.14215
Valid. Matthews.	0.63550
Training Time	0:03:26
Validation Time	0:00:06
Seed	9
Layer	0
epoch	3
Training Loss	46.43290
Training Prob Loss	4.73041
Training Cola Loss	0.15899
Valid. Loss	46.43290
Valid. Matthews.	0.63353
Training Time	0:03:31
Validation Time	0:00:07
Seed	9
Layer	0
epoch	1
Training Loss	63.73155
Training Prob Loss	6.12221
Training Cola Loss	0.50606
Valid. Loss	63.73155
Valid. Matthews.	0.47143
Training Time	0:03:20
Validation Time	0:00:08
Seed	13
Layer	0
epoch	2
Training Loss	47.47787
Training Prob Loss	5.05477
Training Cola Loss	0.28133
Valid. Loss	47.47787
Valid. Matthews.	0.60082
Training Time	0:03:26
Validation Time	0:00:06
Seed	13
Layer	0
epoch	3
Training Loss	46.54265
Training Prob Loss	4.69689
Training Cola Loss	0.14459
Valid. Loss	46.54265
Valid. Matthews.	0.60164
Training Time	0:03:25
Validation Time	0:00:06
Seed	13
Layer	0
epoch	1
Training Loss	62.74056
Training Prob Loss	6.35004
Training Cola Loss	0.48111
Valid. Loss	62.74056
Valid. Matthews.	0.63811
Training Time	0:03:23
Validation Time	0:00:07
Seed	17
Layer	0
epoch	2
Training Loss	46.57756
Training Prob Loss	5.29306
Training Cola Loss	0.26987
Valid. Loss	46.57756
Valid. Matthews.	0.59119
Training Time	0:03:26
Validation Time	0:00:06
Seed	17
Layer	0
epoch	3
Training Loss	46.01849
Training Prob Loss	4.82424
Training Cola Loss	0.13294
Valid. Loss	46.01849
Valid. Matthews.	0.59815
Training Time	0:03:26
Validation Time	0:00:07
Seed	17
Layer	0
epoch	1
Training Loss	63.20488
Training Prob Loss	6.28331
Training Cola Loss	0.49753
Valid. Loss	63.20488
Valid. Matthews.	0.52915
Training Time	0:03:26
Validation Time	0:00:06
Seed	21
Layer	0
epoch	2
Training Loss	46.74675
Training Prob Loss	5.23847
Training Cola Loss	0.27196
Valid. Loss	46.74675
Valid. Matthews.	0.60402
Training Time	0:03:28
Validation Time	0:00:07
Seed	21
Layer	0
epoch	3
Training Loss	46.10936
Training Prob Loss	4.80299
Training Cola Loss	0.13132
Valid. Loss	46.10936
Valid. Matthews.	0.60734
Training Time	0:03:27
Validation Time	0:00:06
Seed	21
Layer	0
epoch	1
Training Loss	63.24330
Training Prob Loss	6.26885
Training Cola Loss	0.49119
Valid. Loss	63.24330
Valid. Matthews.	0.55306
Training Time	0:03:21
Validation Time	0:00:06
Seed	25
Layer	0
epoch	2
Training Loss	46.73407
Training Prob Loss	5.29393
Training Cola Loss	0.28203
Valid. Loss	46.73407
Valid. Matthews.	0.61446
Training Time	0:03:23
Validation Time	0:00:07
Seed	25
Layer	0
epoch	3
Training Loss	46.15667
Training Prob Loss	4.77970
Training Cola Loss	0.15007
Valid. Loss	46.15667
Valid. Matthews.	0.60821
Training Time	0:03:24
Validation Time	0:00:06
Seed	25
Layer	0
epoch	1
Training Loss	63.68555
Training Prob Loss	6.20586
Training Cola Loss	0.50466
Valid. Loss	63.68555
Valid. Matthews.	0.52011
Training Time	0:03:22
Validation Time	0:00:06
Seed	29
Layer	0
epoch	2
Training Loss	47.12565
Training Prob Loss	5.22581
Training Cola Loss	0.27153
Valid. Loss	47.12565
Valid. Matthews.	0.61834
Training Time	0:03:27
Validation Time	0:00:07
Seed	29
Layer	0
epoch	3
Training Loss	46.43029
Training Prob Loss	4.80375
Training Cola Loss	0.13637
Valid. Loss	46.43029
Valid. Matthews.	0.59613
Training Time	0:03:27
Validation Time	0:00:06
Seed	29
Layer	0
epoch	1
Training Loss	63.31863
Training Prob Loss	6.22803
Training Cola Loss	0.49292
Valid. Loss	63.31863
Valid. Matthews.	0.63264
Training Time	0:03:23
Validation Time	0:00:06
Seed	33
Layer	0
epoch	2
Training Loss	46.62897
Training Prob Loss	5.28847
Training Cola Loss	0.28584
Valid. Loss	46.62897
Valid. Matthews.	0.66172
Training Time	0:03:27
Validation Time	0:00:06
Seed	33
Layer	0
epoch	3
Training Loss	46.07949
Training Prob Loss	4.83873
Training Cola Loss	0.14468
Valid. Loss	46.07949
Valid. Matthews.	0.63523
Training Time	0:03:28
Validation Time	0:00:07
Seed	33
Layer	0
epoch	1
Training Loss	63.17714
Training Prob Loss	6.21281
Training Cola Loss	0.48845
Valid. Loss	63.17714
Valid. Matthews.	0.62156
Training Time	0:03:23
Validation Time	0:00:06
Seed	37
Layer	0
epoch	2
Training Loss	46.73450
Training Prob Loss	5.25198
Training Cola Loss	0.27008
Valid. Loss	46.73450
Valid. Matthews.	0.61829
Training Time	0:03:27
Validation Time	0:00:06
Seed	37
Layer	0
epoch	3
Training Loss	45.88298
Training Prob Loss	4.81114
Training Cola Loss	0.13711
Valid. Loss	45.88298
Valid. Matthews.	0.64909
Training Time	0:03:27
Validation Time	0:00:07
Seed	37
Layer	1
epoch	1
Training Loss	10.60977
Training Prob Loss	0.27266
Training Cola Loss	0.50900
Valid. Loss	10.60977
Valid. Matthews.	0.59547
Training Time	0:03:24
Validation Time	0:00:07
Seed	1
Layer	1
epoch	2
Training Loss	8.43089
Training Prob Loss	0.06551
Training Cola Loss	0.30068
Valid. Loss	8.43089
Valid. Matthews.	0.59561
Training Time	0:03:28
Validation Time	0:00:07
Seed	1
Layer	1
epoch	3
Training Loss	7.28660
Training Prob Loss	0.05517
Training Cola Loss	0.17316
Valid. Loss	7.28660
Valid. Matthews.	0.60199
Training Time	0:03:26
Validation Time	0:00:07
Seed	1
Layer	1
epoch	1
Training Loss	11.13436
Training Prob Loss	0.26785
Training Cola Loss	0.48799
Valid. Loss	11.13436
Valid. Matthews.	0.56422
Training Time	0:03:24
Validation Time	0:00:07
Seed	5
Layer	1
epoch	2
Training Loss	9.15467
Training Prob Loss	0.06595
Training Cola Loss	0.45180
Valid. Loss	9.15467
Valid. Matthews.	0.10626
Training Time	0:03:27
Validation Time	0:00:06
Seed	5
Layer	1
epoch	3
Training Loss	8.43775
Training Prob Loss	0.06104
Training Cola Loss	0.29334
Valid. Loss	8.43775
Valid. Matthews.	0.63958
Training Time	0:03:28
Validation Time	0:00:06
Seed	5
Layer	1
epoch	1
Training Loss	12.03322
Training Prob Loss	0.28322
Training Cola Loss	0.50346
Valid. Loss	12.03322
Valid. Matthews.	0.55528
Training Time	0:03:21
Validation Time	0:00:06
Seed	9
Layer	1
epoch	2
