nah	105	592	26	41	486	14	2.0
ultimatum	21	551	20	34	530	13	2.0
strikers	19	263	19	32	244	13	2.0
durban	494	571	30	43	77	13	2.0
beaumont	26	600	26	45	574	18	3.0
nonsense	20	61	20	32	41	11	2.0
scout	25	301	26	38	275	11	2.0
brett	58	608	31	42	550	11	2.0
bundles	23	536	23	39	512	16	3.0
archeological	23	265	23	33	241	10	2.0
instrumental	23	138	23	34	115	10	2.0
ethanol	18	261	18	33	242	15	3.0
##nn	25	555	25	36	529	10	2.0
digest	24	116	24	34	92	10	2.0
schmidt	27	600	27	37	572	10	2.0
kits	52	106	28	38	54	9	2.0
##truct	100	597	28	38	496	9	2.0
williamson	45	194	26	36	149	9	2.0
brasil	93	603	31	40	510	9	2.0
##rage	129	586	26	36	457	9	2.0
barrage	22	516	22	36	494	14	3.0
concluding	19	29	19	29	9	9	2.0
##ncia	25	525	25	34	500	9	2.0
geek	33	516	28	37	483	9	2.0
okinawa	34	526	26	36	491	9	2.0
##writing	22	106	22	31	83	9	2.0
coaches	21	283	21	35	261	13	3.0
brooke	25	281	26	35	256	9	2.0
##ssion	25	33	25	34	8	8	2.0
bihar	120	292	34	43	172	8	2.0
blues	20	567	20	38	547	17	4.0
##sche	26	200	26	35	173	8	2.0
##rik	22	134	22	31	111	8	2.0
##ond	26	59	26	34	33	8	2.0
ignoring	24	549	24	33	524	8	2.0
mig	24	94	24	33	70	8	2.0
##cki	27	87	27	35	59	8	2.0
##dies	44	598	25	38	553	13	3.0
##lide	23	121	23	36	97	12	3.0
##istan	23	526	23	36	503	12	3.0
##lts	29	630	25	46	600	21	5.0
laguna	28	558	29	37	529	8	2.0
appleton	124	523	27	36	399	8	2.0
siding	24	291	24	37	266	12	3.0
eddy	25	562	23	36	537	12	3.0
##cate	98	200	28	37	101	8	2.0
click	24	541	25	33	517	8	2.0
thread	24	540	24	37	515	12	3.0
##oke	22	268	23	31	246	8	2.0
##dict	20	602	21	37	581	16	4.0
